,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v16,v17,v18,v19,v20,v21,classlabel
0,v,g,17.92,f,1.75,a,t,80.0,5.4000000000000005e-05,1,u,2.82,t,c,800000.0,5,g,0,f,f,0
1,v,s,16.92,f,0.29,b,f,200.0,3.35e-05,0,y,3.45,f,k,2000000.0,0,p,1,f,f,0
2,ff,g,31.25,f,0.0,b,t,96.0,0.0001125,1,u,3.24,f,ff,960000.0,19,g,0,f,f,0
3,o,g,48.17,f,0.335,a,f,0.0,0.0001335,0,u,4.21,f,i,0.0,120,g,1,f,f,0
4,v,g,32.33,t,0.5,b,f,232.0,0.00035,0,u,3.44,t,k,2320000.0,0,g,1,f,f,0
5,h,g,34.83,f,0.5,a,f,160.0,0.000125,0,y,3.64,t,i,1600000.0,0,p,0,f,f,0
6,j,g,26.17,t,0.0,a,f,276.0,0.0002,0,u,2.74,t,j,2760000.0,1,g,1,f,f,0
7,h,g,21.17,f,0.25,b,f,280.0,8.75e-05,0,y,4.03,f,c,2800000.0,204,p,1,f,f,0
8,v,g,28.92,f,0.29,b,f,220.0,3.75e-05,0,u,2.49,f,c,2200000.0,140,g,0,f,f,0
9,h,g,18.17,f,1.085,b,f,320.0,0.001025,0,u,2.96,f,c,3200000.0,13,g,0,f,f,0
10,h,g,24.75,f,1.5,a,f,280.0,0.0013664999999999999,0,u,3.41,f,q,2800000.0,1,g,0,f,f,0
11,j,g,31.75,f,0.0,a,f,160.0,0.0003,0,y,3.42,f,j,1600000.0,20,p,1,f,f,0
12,h,g,18.17,f,0.165,a,f,340.0,0.001,0,y,3.12,f,q,3400000.0,0,p,0,f,f,0
13,v,g,18.25,f,1.0,a,t,120.0,0.001,1,u,4.06,f,W,1200000.0,1,g,1,f,f,0
14,h,g,17.58,f,0.165,b,t,120.0,0.001,1,u,3.44,f,W,1200000.0,1,g,1,f,f,0
15,ff,g,51.83,f,1.5,b,f,120.0,0.000204,0,y,3.29,f,ff,1200000.0,1,p,0,f,f,0
16,bb,g,26.67,f,0.0,b,f,178.0,0.0014585000000000002,0,u,2.93,t,i,1780000.0,0,g,0,f,f,0
17,v,g,31.42,f,0.5,b,f,120.0,0.00155,0,u,3.83,f,c,1200000.0,0,g,1,f,t,0
18,h,g,25.67,f,2.29,b,t,416.0,0.000325,1,u,2.41,t,c,4160000.0,21,g,0,f,f,0
19,bb,g,33.75,f,0.0,b,f,180.0,0.000275,0,u,5.63,f,i,1800000.0,0,g,1,f,f,0
20,h,g,32.75,f,5.75,b,f,292.0,0.00023349999999999998,0,u,2.88,t,d,2920000.0,0,g,0,f,f,0
21,v,s,39.83,f,0.25,b,f,288.0,5e-05,0,u,4.08,f,m,2880000.0,0,g,1,f,t,0
